Store_Dept_Date,Weekly_Sales
16_46_2012-10-12,1374.53
28_56_2012-6-15,23305.54
5_22_2010-10-15,6258.18
26_73_2011-4-1,34696.36
32_5_2012-7-27,20146.85
24_73_2011-4-8,100000.0
7_23_2011-12-30,4441.74
27_37_2010-12-17,3311.22
9_4_2010-4-30,38215.81
23_56_2010-9-17,557.9
12_14_2010-5-28,37270.87
27_24_2010-3-26,3751.39
44_46_2012-1-6,1373.22
18_51_2011-3-4,137.6
21_9_2011-8-19,10.0
30_72_2012-4-13,28887.05
20_9_2012-2-17,829.27
35_3_2010-9-10,5186.44
0_0_2010-10-1,26978.34
5_0_2010-4-9,28356.92
35_49_2012-10-26,603.86
3_52_2012-4-20,4853.06
43_62_2012-1-6,25239.46
37_64_2011-7-1,15737.7
42_32_2011-8-19,18863.77
26_66_2011-9-23,3059.64
12_30_2011-2-25,100000.0
2_57_2012-6-22,12317.12
22_27_2011-2-11,2055.0
22_20_2012-10-12,1389.61
17_4_2011-3-11,23143.98
43_70_2011-4-8,12998.14
18_45_2011-1-7,3.36
35_7_2010-11-26,12444.94
15_72_2011-10-28,21419.91
21_13_2010-5-21,5375.72
1_7_2012-10-26,29015.02
28_21_2010-7-23,38722.66
26_11_2010-5-7,10.5
3_24_2011-10-28,6243.13
37_63_2010-12-31,11803.87
9_42_2012-3-2,11503.33
7_1_2011-1-14,13299.61
12_17_2010-2-19,12534.14
15_73_2010-4-2,51323.74
14_45_2010-12-17,11.24
26_74_2010-4-9,36408.42
21_66_2012-10-19,8977.07
39_51_2010-10-29,331.78
35_67_2012-10-19,3491.7
29_49_2011-9-16,78.97
24_72_2011-4-29,64414.11
38_79_2011-6-24,2824.39
13_52_2010-8-20,4758.91
6_63_2011-2-25,21566.48
6_66_2012-7-27,9167.37
36_7_2012-3-23,748.14
35_1_2012-6-8,17242.15
42_55_2012-6-15,5336.72
32_7_2012-3-16,10425.43
20_0_2010-10-29,33175.28
23_46_2012-9-14,14.88
0_65_2011-1-14,29631.17
41_16_2010-10-29,14399.24
20_13_2012-4-13,8377.74
3_71_2012-9-28,11455.02
20_19_2011-7-1,474.01
2_0_2011-5-27,12757.77
6_35_2011-11-4,3810.79
7_35_2011-8-12,4608.79
4_7_2011-6-3,16816.23
40_35_2010-12-10,2960.11
24_62_2011-10-21,31207.89
15_57_2011-12-9,13867.66
20_57_2011-4-22,7262.54
13_4_2010-3-5,30634.52
39_33_2010-10-1,38756.73
35_79_2011-7-8,9396.63
32_15_2011-3-4,5935.9
9_78_2011-10-14,7361.46
20_75_2012-6-29,35108.13
17_20_2012-1-20,2716.49
44_47_2010-12-24,136.84
5_26_2010-2-26,25584.7
41_77_2010-12-17,38197.94
13_78_2012-6-15,3443.04
36_74_2011-6-3,35208.01
21_18_2012-10-26,1841.08
0_62_2012-10-5,45837.83
3_70_2012-4-13,23619.02
15_53_2012-2-17,52.8
28_35_2012-2-10,5647.01
12_6_2012-6-15,58584.06
21_56_2012-8-17,12732.87
12_29_2010-4-30,3796.41
28_58_2010-8-27,100000.0
26_6_2012-8-31,196.34
20_57_2012-9-28,4699.95
0_61_2011-8-26,3.0
27_18_2012-2-10,831.41
39_78_2010-8-6,7053.9
2_76_2010-12-24,77253.06
8_46_2012-1-6,2993.71
16_8_2011-9-9,291.0
33_18_2010-3-12,2211.0
11_25_2010-4-2,5562.63
39_24_2010-7-9,3853.0
44_63_2011-7-1,21334.91
24_35_2012-5-18,5929.79
25_38_2011-6-10,21.88
7_11_2010-3-19,3392.75
39_59_2011-8-5,8879.43
15_73_2010-10-29,51079.28
