Store_Dept_Date,Weekly_Sales
16_46_2012-10-12,1362.1969000000006
28_56_2012-6-15,25061.750199999995
5_22_2010-10-15,5778.964800000001
26_73_2011-4-1,29670.500999999997
32_5_2012-7-27,20919.50880000001
24_73_2011-4-8,100000.0
7_23_2011-12-30,3102.020099999998
27_37_2010-12-17,4712.4637
9_4_2010-4-30,42640.48589999999
23_56_2010-9-17,533.5911999999998
12_14_2010-5-28,37086.29930000001
27_24_2010-3-26,3883.9226000000035
44_46_2012-1-6,1555.0159999999998
18_51_2011-3-4,200.34509999999995
21_9_2011-8-19,12.0875
30_72_2012-4-13,31118.47549999999
20_9_2012-2-17,1220.4533
35_3_2010-9-10,4773.2378
0_0_2010-10-1,27423.27070000001
5_0_2010-4-9,31140.11739999999
35_49_2012-10-26,1000.2820999999998
3_52_2012-4-20,4710.1262
43_62_2012-1-6,25356.169499999993
37_64_2011-7-1,14597.667299999994
42_32_2011-8-19,18147.600900000012
26_66_2011-9-23,3026.3332000000014
12_30_2011-2-25,99907.72779999998
2_57_2012-6-22,11548.663199999988
22_27_2011-2-11,1941.4010999999998
22_20_2012-10-12,1226.1703000000005
17_4_2011-3-11,23918.75360000002
43_70_2011-4-8,12438.180500000006
18_45_2011-1-7,29.981000000000005
35_7_2010-11-26,14129.002299999995
15_72_2011-10-28,23156.461099999993
21_13_2010-5-21,5484.969199999996
1_7_2012-10-26,25778.832100000018
28_21_2010-7-23,30858.757500000003
26_11_2010-5-7,28.3514
3_24_2011-10-28,7766.684699999999
37_63_2010-12-31,12701.942000000003
9_42_2012-3-2,10719.528100000005
7_1_2011-1-14,13437.050000000003
12_17_2010-2-19,13461.04419999999
15_73_2010-4-2,49413.78530000006
14_45_2010-12-17,10.899199999999999
26_74_2010-4-9,38162.973600000034
21_66_2012-10-19,9916.860199999997
39_51_2010-10-29,302.9685999999999
35_67_2012-10-19,3325.9111999999986
29_49_2011-9-16,89.02489999999996
24_72_2011-4-29,64835.013
38_79_2011-6-24,3224.2931999999996
13_52_2010-8-20,4502.507099999995
6_63_2011-2-25,19850.039799999995
6_66_2012-7-27,9732.1435
36_7_2012-3-23,681.3779999999999
35_1_2012-6-8,17539.74119999999
42_55_2012-6-15,5216.480999999999
32_7_2012-3-16,10812.6104
